configuration,question_id,category,question,gold_sources,mrr,first_relevant_rank,top5_sources,top5_chunk_ids,recall@1,recall@3,recall@5
250w_40o,Q44,partially_answerable,I am a single buyer and my income is within the HDB loan ceiling. Tell me the exact loan amount HDB will give me.,HDB08,0.3333333333333333,3,"CPF03, CPF03, HDB08, HDB08, HDB08","CPF03:003:000, CPF03:006:000, HDB08:006:001, HDB08:006:005, HDB08:005:000",0.0,1.0,1.0
250w_40o,Q45,partially_answerable,I am eligible to buy a flat. Does that automatically mean I will receive every CPF housing grant listed on HDB's site?,"HDB01, HDB02, HDB03, HDB05, HDB06",0.5,2,"HDB07, HDB02, HDB04, HDB01, HDB01","HDB07:005:000, HDB02:010:002, HDB04:005:001, HDB01:005:002, HDB01:013:002",0.0,0.2,0.4
250w_40o,Q53,adversarial_misleading,"I'm 30 and single, so I can buy any HDB resale flat on my own as long as I can afford it, right?","HDB02, HDB08",0.5,2,"CPF04, HDB02, CPF03, HDB04, CPF06","CPF04:000:000, HDB02:006:000, CPF03:000:000, HDB04:002:005, CPF06:000:002",0.0,0.5,0.5
250w_40o,Q54,adversarial_misleading,"Since CPF can be used for housing, I can use my Special Account to pay my property downpayment, correct?",CPF03,0.14285714285714285,7,"CPF09, CPF09, CPF02, HDB09, HDB08","CPF09:002:000, CPF09:005:000, CPF02:000:000, HDB09:001:000, HDB08:007:000",0.0,0.0,0.0
250w_40o,Q55,adversarial_misleading,"When I sell my property, I only need to refund the original CPF principal and never any accrued interest, right?",CPF06,1.0,1,"CPF06, CPF03, CPF04, CPF06, CPF06","CPF06:000:000, CPF03:000:002, CPF04:000:001, CPF06:000:001, CPF06:000:002",1.0,1.0,1.0
250w_40o,Q56,adversarial_misleading,"If my resale OTP expires, HDB automatically extends it for another 21 days, right?",HDB12,1.0,1,"HDB12, HDB12, HDB12, HDB12, HDB12","HDB12:004:000, HDB12:003:000, HDB12:003:001, HDB12:004:001, HDB12:010:000",1.0,1.0,1.0
250w_40o,Q57,temporal,What CPF OA interest rate applies from 1 July 2026 to 30 September 2026?,CPF10,0.5,2,"CPF09, CPF10, HDB08, HDB08, HDB08","CPF09:000:000, CPF10:000:000, HDB08:004:002, HDB08:004:001, HDB08:006:002",0.0,1.0,1.0
250w_40o,Q59,temporal,For what period is the CPF Ordinary Account interest rate stated on the current source applicable?,CPF10,0.16666666666666666,6,"HDB08, HDB08, HDB08, HDB08, HDB08","HDB08:006:001, HDB08:006:002, HDB08:006:004, HDB08:004:001, HDB08:004:002",0.0,0.0,0.0
150w_30o,Q1,direct_answerable,Who can buy an HDB flat under the couples and families routes described by HDB?,HDB01,0.3333333333333333,3,"HDB06, HDB06, HDB01, HDB05, HDB07","HDB06:002:010, HDB06:002:000, HDB01:025:000, HDB05:002:008, HDB07:002:000",0.0,1.0,1.0
150w_30o,Q2,direct_answerable,Can a single person buy an HDB flat alone under HDB's singles route?,HDB02,0.08333333333333333,12,"HDB01, HDB01, HDB01, HDB01, HDB01","HDB01:028:015, HDB01:024:005, HDB01:005:005, HDB01:013:005, HDB01:019:005",0.0,0.0,0.0
150w_30o,Q3,direct_answerable,What CPF Housing Grant may a first-timer single receive when buying a resale flat?,HDB03,0.25,4,"HDB04, HDB04, HDB04, HDB03, HDB03","HDB04:002:009, HDB04:000:000, HDB04:002:000, HDB03:000:000, HDB03:002:008",0.0,0.0,1.0
150w_30o,Q4,direct_answerable,What CPF housing grants are described for families buying resale flats?,HDB06,0.047619047619047616,21,"HDB01, HDB01, HDB01, HDB01, HDB01","HDB01:010:016, HDB01:002:016, HDB01:016:016, HDB01:021:016, HDB01:013:006",0.0,0.0,0.0
150w_30o,Q5,direct_answerable,Who is the Step-Up CPF Housing Grant intended for?,HDB07,1.0,1,"HDB07, HDB07, HDB07, HDB01, HDB01","HDB07:005:001, HDB07:002:009, HDB07:002:008, HDB01:010:016, HDB01:013:006",1.0,1.0,1.0
150w_30o,Q6,direct_answerable,"What household income ceilings apply to an HDB housing loan for families, extended families and singles?",HDB08,1.0,1,"HDB08, HDB08, HDB01, HDB01, HDB01","HDB08:000:012, HDB08:000:002, HDB01:013:006, HDB01:010:016, HDB01:005:006",1.0,1.0,1.0
150w_30o,Q7,direct_answerable,What kinds of upfront payments should buyers consider when budgeting for a flat?,HDB09,0.3333333333333333,3,"CPF03, CPF03, HDB09, HDB09, CPF02","CPF03:000:002, CPF03:000:001, HDB09:000:003, HDB09:000:002, CPF02:000:004",0.0,1.0,1.0
150w_30o,Q8,direct_answerable,Where does HDB direct buyers to look for current and upcoming new-flat sales exercises?,HDB10,1.0,1,"HDB10, HDB12, HDB01, HDB01, HDB02","HDB10:000:001, HDB12:000:000, HDB01:028:000, HDB01:021:016, HDB02:007:015",1.0,1.0,1.0
150w_30o,Q9,direct_answerable,What are the main stages in HDB's resale-flat buying process?,HDB11,0.16666666666666666,6,"HDB12, HDB12, HDB09, CPF04, CPF04","HDB12:010:002, HDB12:010:001, HDB09:000:003, CPF04:003:000, CPF04:006:000",0.0,0.0,0.0
150w_30o,Q10,direct_answerable,How long is the Option to Purchase valid after it is granted for a resale flat?,HDB12,1.0,1,"HDB12, CPF07, HDB12, HDB12, CPF01","HDB12:002:001, CPF07:000:000, HDB12:004:000, HDB12:002:000, CPF01:000:001",1.0,1.0,1.0
150w_30o,Q11,direct_answerable,What are the main CPF accounts described in the CPF overview?,CPF01,0.06666666666666667,15,"CPF09, CPF09, CPF02, CPF09, CPF06","CPF09:003:000, CPF09:006:000, CPF02:000:003, CPF09:000:000, CPF06:000:003",0.0,0.0,0.0
150w_30o,Q12,direct_answerable,What are some of the main purposes of CPF described in CPF 101?,CPF02,0.14285714285714285,7,"CPF03, CPF03, CPF08, CPF08, CPF07","CPF03:000:001, CPF03:000:002, CPF08:002:000, CPF08:005:000, CPF07:000:003",0.0,0.0,0.0
150w_30o,Q13,direct_answerable,Which CPF account can generally be used for a home purchase?,CPF03,0.5,2,"CPF02, CPF03, HDB08, CPF03, HDB05","CPF02:000:000, CPF03:000:001, HDB08:007:001, CPF03:000:002, HDB05:005:002",0.0,1.0,1.0
150w_30o,Q14,direct_answerable,What generally has to be refunded to CPF when a property is sold or transferred?,CPF06,0.5,2,"CPF04, CPF06, CPF06, CPF06, CPF06","CPF04:000:003, CPF06:000:005, CPF06:000:004, CPF06:000:000, CPF06:000:001",0.0,1.0,1.0
150w_30o,Q15,direct_answerable,What is CPF LIFE intended to provide?,CPF08,0.3333333333333333,3,"CPF02, CPF02, CPF08, CPF07, CPF07","CPF02:002:000, CPF02:005:000, CPF08:000:001, CPF07:003:000, CPF07:006:000",0.0,1.0,1.0
150w_30o,Q16,multi_hop,"A first-timer single wants to buy a resale flat. What HDB grant routes should they check, and what prerequisite applies before EHG (Singles) for a resale purchase?","HDB03, HDB04",1.0,1,"HDB04, HDB04, HDB05, HDB04, HDB05","HDB04:000:000, HDB04:002:009, HDB05:000:000, HDB04:002:000, HDB05:008:001",0.5,0.5,0.5
150w_30o,Q17,multi_hop,A family buying a resale flat wants both the main resale grant and EHG. How do these grant routes relate?,"HDB05, HDB06",1.0,1,"HDB06, HDB06, HDB05, HDB04, HDB07","HDB06:002:009, HDB06:005:001, HDB05:000:000, HDB04:000:000, HDB07:000:000",0.5,1.0,1.0
150w_30o,Q18,multi_hop,A second-timer family wants to move from an eligible smaller flat to another flat. Which grant should they investigate and what housing context matters?,"HDB01, HDB07",0.3333333333333333,3,"HDB02, HDB02, HDB01, HDB01, HDB01","HDB02:010:003, HDB02:005:003, HDB01:031:003, HDB01:005:004, HDB01:013:004",0.0,0.5,0.5
150w_30o,Q19,multi_hop,"How do the HFE letter, housing grants and HDB loan eligibility fit together before a buyer commits to a flat?","HDB03, HDB08, HDB09",0.3333333333333333,3,"HDB04, HDB05, HDB03, HDB06, HDB02","HDB04:000:001, HDB05:000:001, HDB03:000:001, HDB06:000:001, HDB02:000:000",0.0,0.3333333333333333,0.3333333333333333
150w_30o,Q20,multi_hop,A resale buyer has agreed on a price. What should happen from the OTP stage until the resale application is submitted?,"HDB11, HDB12",1.0,1,"HDB12, HDB12, HDB12, HDB12, HDB12","HDB12:010:000, HDB12:004:000, HDB12:000:000, HDB12:003:000, HDB12:000:001",0.5,0.5,0.5
150w_30o,Q21,multi_hop,How do CPF OA usage for housing and the later CPF refund obligation connect across the lifecycle of owning and selling a property?,"CPF03, CPF06",0.5,2,"CPF04, CPF06, HDB08, CPF06, HDB08","CPF04:000:001, CPF06:000:005, HDB08:004:002, CPF06:000:004, HDB08:004:003",0.0,0.5,0.5
150w_30o,Q22,multi_hop,Why can using more CPF for housing affect retirement resources later?,"CPF01, CPF05, CPF07",0.3333333333333333,3,"HDB01, HDB02, CPF07, CPF07, CPF08","HDB01:031:006, HDB02:005:006, CPF07:001:000, CPF07:004:000, CPF08:001:000",0.0,0.3333333333333333,0.3333333333333333
150w_30o,Q23,multi_hop,How does CPF LIFE relate to the broader CPF retirement-income framework?,"CPF07, CPF08",1.0,1,"CPF08, CPF08, CPF08, CPF07, CPF08","CPF08:001:000, CPF08:004:000, CPF08:000:001, CPF07:000:000, CPF08:002:000",0.5,0.5,1.0
150w_30o,Q24,multi_hop,How do base CPF interest rates and extra interest work together for an older member?,"CPF09, CPF10",1.0,1,"CPF10, CPF10, CPF09, CPF05, CPF02","CPF10:000:001, CPF10:000:000, CPF09:000:000, CPF05:000:003, CPF02:000:002",0.5,1.0,1.0
150w_30o,Q25,multi_hop,How do HDB's budgeting guidance and CPF's housing-usage guidance complement each other when planning a flat purchase?,"CPF03, CPF05, HDB09",0.3333333333333333,3,"CPF07, CPF07, HDB09, CPF05, HDB12","CPF07:001:000, CPF07:004:000, HDB09:001:000, CPF05:000:002, HDB12:010:000",0.0,0.3333333333333333,0.6666666666666666
150w_30o,Q26,conditional,"If a first-timer single is buying a resale flat, under what condition should EHG (Singles) be considered after the Singles Grant?","HDB03, HDB04",1.0,1,"HDB04, HDB03, HDB04, HDB04, HDB03","HDB04:000:000, HDB03:002:008, HDB04:002:009, HDB04:007:002, HDB03:000:000",0.5,1.0,1.0
150w_30o,Q27,conditional,"If a family is buying a resale flat, what must be established before EHG for Families is considered?","HDB05, HDB06",1.0,1,"HDB05, HDB01, HDB01, HDB01, HDB01","HDB05:000:000, HDB01:016:006, HDB01:002:006, HDB01:010:006, HDB01:021:006",0.5,0.5,0.5
150w_30o,Q28,conditional,"If applicants are second-timers, when should the Step-Up CPF Housing Grant be investigated?",HDB07,1.0,1,"HDB07, HDB07, HDB07, HDB07, HDB07","HDB07:005:001, HDB07:000:000, HDB07:005:000, HDB07:002:009, HDB07:002:008",1.0,1.0,1.0
150w_30o,Q29,conditional,"If a single applicant wants an HDB loan, what household income ceiling applies according to the current HDB loan page?",HDB08,0.041666666666666664,24,"HDB01, HDB01, HDB01, HDB02, HDB01","HDB01:002:018, HDB01:016:018, HDB01:021:018, HDB02:002:017, HDB01:016:001",0.0,0.0,0.0
150w_30o,Q30,conditional,"If a buyer is purchasing a 2-room Flexi flat on a short lease, can an HDB housing loan be assumed to be available?",HDB08,1.0,1,"HDB08, HDB08, HDB06, HDB06, HDB02","HDB08:000:011, HDB08:000:001, HDB06:002:012, HDB06:002:002, HDB02:002:017",1.0,1.0,1.0
150w_30o,Q31,conditional,"If a buyer has been granted an OTP but changes their mind, what happens if they simply do not exercise it?",HDB12,1.0,1,"HDB12, HDB05, HDB12, CPF06, CPF06","HDB12:004:000, HDB05:006:000, HDB12:001:000, CPF06:000:001, CPF06:000:000",1.0,1.0,1.0
150w_30o,Q32,conditional,"If a member uses CPF OA savings for a property, what should they expect to happen to those amounts when the property is later sold?","CPF03, CPF06",1.0,1,"CPF06, CPF03, HDB08, HDB08, CPF02","CPF06:000:004, CPF03:000:003, HDB08:007:002, HDB08:007:001, CPF02:000:003",0.5,1.0,1.0
150w_30o,Q33,conditional,"If sale proceeds are insufficient to cover principal plus accrued interest, should the system automatically tell the member to top up the shortfall in cash?",CPF06,1.0,1,"CPF06, CPF06, HDB08, HDB04, CPF07","CPF06:000:004, CPF06:000:002, HDB08:009:002, HDB04:002:011, CPF07:000:001",1.0,1.0,1.0
150w_30o,Q34,conditional,"If a member defers CPF LIFE payouts, what effect can that have on monthly payouts?",CPF08,1.0,1,"CPF08, CPF02, CPF02, CPF08, CPF07","CPF08:000:008, CPF02:002:000, CPF02:005:000, CPF08:000:007, CPF07:002:000",1.0,1.0,1.0
150w_30o,Q35,conditional,"If a user asks for the CPF OA interest rate for a period outside the effective dates in the current source, should the system reuse the current rate?",CPF10,0.0625,16,"HDB08, HDB08, CPF09, HDB08, HDB08","HDB08:004:003, HDB08:004:002, CPF09:000:001, HDB08:004:001, HDB08:006:003",0.0,0.0,0.0
150w_30o,Q36,partially_answerable,I am 35 and single. Exactly how much housing grant will I receive for the flat I am considering?,"HDB02, HDB03, HDB04",1.0,1,"HDB03, HDB03, HDB09, HDB07, HDB04","HDB03:002:008, HDB03:005:002, HDB09:002:001, HDB07:005:001, HDB04:002:009",0.3333333333333333,0.3333333333333333,0.6666666666666666
150w_30o,Q37,partially_answerable,I earn below the HDB loan income ceiling. Does that guarantee that HDB will approve my loan?,HDB08,0.045454545454545456,22,"HDB01, HDB02, HDB01, HDB01, HDB01","HDB01:002:018, HDB02:002:017, HDB01:016:018, HDB01:021:018, HDB01:010:018",0.0,0.0,0.0
150w_30o,Q38,partially_answerable,I have enough CPF OA savings for the downpayment. Does that mean I can definitely afford the flat?,"CPF03, CPF05, HDB09",1.0,1,"HDB09, CPF03, HDB08, CPF02, CPF04","HDB09:001:000, CPF03:000:003, HDB08:007:001, CPF02:000:003, CPF04:000:000",0.3333333333333333,0.6666666666666666,0.6666666666666666
150w_30o,Q39,partially_answerable,I used CPF for my home. Tell me the exact dollar amount I must refund if I sell today.,CPF06,1.0,1,"CPF06, CPF03, CPF04, CPF06, CPF03","CPF06:000:000, CPF03:000:004, CPF04:000:002, CPF06:000:001, CPF03:000:003",1.0,1.0,1.0
150w_30o,Q40,partially_answerable,I am 55. Tell me exactly how much my CPF LIFE monthly payout will be.,CPF08,0.3333333333333333,3,"CPF07, CPF01, CPF08, CPF08, CPF08","CPF07:000:000, CPF01:000:001, CPF08:000:002, CPF08:000:007, CPF08:000:008",0.0,1.0,1.0
150w_30o,Q41,partially_answerable,I qualify for a Singles Grant. Does that automatically mean I qualify for EHG (Singles)?,"HDB03, HDB04",1.0,1,"HDB04, HDB03, HDB04, HDB04, HDB05","HDB04:007:002, HDB03:000:000, HDB04:000:000, HDB04:010:001, HDB05:008:001",0.5,1.0,1.0
150w_30o,Q42,partially_answerable,I am a second-timer. Does the Step-Up CPF Housing Grant definitely apply to me?,HDB07,1.0,1,"HDB07, HDB07, HDB07, HDB01, HDB01","HDB07:005:001, HDB07:000:000, HDB07:002:008, HDB01:005:006, HDB01:019:006",1.0,1.0,1.0
150w_30o,Q43,partially_answerable,I want to buy a resale flat. Can you calculate my exact cash and CPF upfront payments from these pages alone?,"CPF03, HDB09",1.0,1,"HDB09, HDB09, CPF03, HDB09, HDB05","HDB09:000:003, HDB09:000:002, CPF03:000:003, HDB09:002:000, HDB05:000:001",0.5,1.0,1.0
150w_30o,Q44,partially_answerable,I am a single buyer and my income is within the HDB loan ceiling. Tell me the exact loan amount HDB will give me.,HDB08,1.0,1,"HDB08, HDB01, HDB01, HDB02, HDB08","HDB08:006:009, HDB01:002:018, HDB01:016:018, HDB02:002:017, HDB08:009:000",1.0,1.0,1.0
150w_30o,Q45,partially_answerable,I am eligible to buy a flat. Does that automatically mean I will receive every CPF housing grant listed on HDB's site?,"HDB01, HDB02, HDB03, HDB05, HDB06",1.0,1,"HDB01, HDB01, HDB01, HDB01, CPF07","HDB01:005:004, HDB01:013:004, HDB01:019:004, HDB01:024:004, CPF07:000:003",0.2,0.2,0.2
150w_30o,Q53,adversarial_misleading,"I'm 30 and single, so I can buy any HDB resale flat on my own as long as I can afford it, right?","HDB02, HDB08",0.3333333333333333,3,"CPF04, CPF03, HDB02, HDB04, CPF06","CPF04:000:000, CPF03:000:000, HDB02:006:000, HDB04:002:009, CPF06:000:004",0.0,0.5,0.5
150w_30o,Q54,adversarial_misleading,"Since CPF can be used for housing, I can use my Special Account to pay my property downpayment, correct?",CPF03,0.1,10,"CPF09, CPF09, CPF02, HDB08, HDB09","CPF09:002:000, CPF09:005:000, CPF02:000:000, HDB08:007:001, HDB09:001:000",0.0,0.0,0.0
150w_30o,Q55,adversarial_misleading,"When I sell my property, I only need to refund the original CPF principal and never any accrued interest, right?",CPF06,0.5,2,"CPF03, CPF06, CPF06, CPF06, CPF04","CPF03:000:004, CPF06:000:001, CPF06:000:000, CPF06:000:002, CPF04:000:002",0.0,1.0,1.0
150w_30o,Q56,adversarial_misleading,"If my resale OTP expires, HDB automatically extends it for another 21 days, right?",HDB12,1.0,1,"HDB12, HDB12, HDB12, HDB01, HDB12","HDB12:004:000, HDB12:003:001, HDB12:003:000, HDB01:028:020, HDB12:004:002",1.0,1.0,1.0
150w_30o,Q57,temporal,What CPF OA interest rate applies from 1 July 2026 to 30 September 2026?,CPF10,0.5,2,"CPF09, CPF10, CPF09, HDB08, HDB08","CPF09:000:000, CPF10:000:000, CPF09:000:001, HDB08:004:003, HDB08:006:004",0.0,1.0,1.0
150w_30o,Q59,temporal,For what period is the CPF Ordinary Account interest rate stated on the current source applicable?,CPF10,0.14285714285714285,7,"HDB08, HDB08, HDB08, HDB08, HDB08","HDB08:006:002, HDB08:006:003, HDB08:006:008, HDB08:004:003, HDB08:006:004",0.0,0.0,0.0
